"COURSE"	"FACULTY"	"SCHOOL"	"CLOS"
"1291"	"ENGL228"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-compare and contrast salient features of the two Shakespeare plays on the course, their characters, plots, and preoccupations, 2-analyse passages from the plays in detail, with close attention to language and performance possibilities, 3-recognise and interpret the principles of adapting literature for film and television, and for filmed stage productions (e.g. Globe on Screen, National Theatre Live), 4-analyse scenes from the focal film, television, and filmed stage productions, with attention to film and stage techniques, and using appropriate terminology, 5-compare, contrast, and critique the artistic and ideological investments (as well as market demands) at play in the focal examples of Shakespearean performance and screen adaptation"
"1292"	"ENGL231"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate an acquaintance with the work of a range of modern poets, 2-demonstrate a deeper and more specialised knowledge of T.S. Eliot&#39;s &quot;The Waste Land&quot;, and the work of at least three other poets on the course, 3-demonstrate some understanding of the different strands of c20 and c21 poetry, including what consitutes modern as opposed, say, to modernist or post-modernist., 4-demonstrate responsiveness to the detail of individual poems, 5-be able to produce a short poem in imitation of a poet on the course and a short piece of fiction in relation to a given poem, 6-be able to offer a critical discussion of major texts in a formal academic essay."
"1293"	"ENGL234"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-respond to the detail of selected passages of literature and demonstrate their responsiveness in a variety of assessment tasks;, 2-read texts critically and discuss their findings in a formal academic essay;, 3-develop some sense of the comparative historical and cultural contexts of the range of texts studied"
"1294"	"ENGL244"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-be familiar with all the set texts;, 2-show ability to critically analyse the texts whether in the form of a passage or as a complete work;, 3-draw out literary, philosophical and social assumptions that underlie the texts;, 4-appreciate both the features they have in common and their distinctive characteristics;, 5-be able to apply critical material to the texts studied."
"1295"	"ENGL248"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Read, analyse, and interpret literary journalism texts;, 2-Discuss the relationship between English literature and journalism in any given period, and the development of that relationship;, 3-Identify and analyse the key elements of the assigned texts;, 4-Identify and analyse the key stylistic features of texts from different historical periods."
"1296"	"ENGL300"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1297"	"ENGL307"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate a thorough knowledge of the content of each of the three English texts; , 2-demonstrate a sophisticated response to the poetic detail of the texts;, 3-write at length about one or more of the texts in a formal academic essay;_x000D_
&nbsp;, 4-discuss the process of adaptation and the influences of one text on another."
"1298"	"ENGL308"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate a familiarity with the set texts as exemplars of Renaissance literary modes;, 2-write about the set texts analytically and in detail;, 3-think and write comparatively about different texts&mdash;and different genres&mdash;across the Renaissance / early modern period;, 4-demonstrate a basic understanding of how to read poetic and dramatic texts in relation to their historical context, as complex, and sometimes competing, interpretations of the cultural worlds in which they are made."
"1299"	"ENGL311"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Read, analyse, and interpret a Romantic text. [Assignment 1, 2, 3], 2-Understand how elements of Romanticism are expressed in English literature. [Assignment 1, 2, 3], 3-Understand the place of Romanticism in the cultural context of English literary history. [Assignment 1, 2, 3], 4-Appreciate the beauty and historical significance of English Romantic poetry. [Assignment 1, 2, 3]"
"1300"	"ENGL312"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate familiarity with the texts studied on the course;, 2-demonstrate an understanding of the cultural and historical contexts of these texts;, 3-demonstrate familiarity with the critical and theoretical contexts in which these texts have been and are currently being read;, 4-develop their own critical and theoretical readings in formal academic writing."
"1301"	"ENGL314"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate their comprehension and knowledge of the set texts, 2-analyse the set texts as exemplars of chivalric literature, 3-Place the set texts in their cultural and historical contexts;, 4-compare the set texts formally and in relation to medieval and Reformation ideologies, 5-express their understanding clearly in writing_x000D_
&nbsp;, 6-present their written work in accordance with standard academic guidelines_x000D_
&nbsp;"
"1302"	"ENGL315"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Read, analyse and interpret an eighteenth-century text, 2-Discuss the place of eighteenth-century literature in literary history, 3-Identify and analyse the key literary elements of the assigned texts, 4-Identify and analyse the key stylistic features of the major authors on the course."
"1303"	"ENGL329"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Compare the representation of gender in selected literary texts from the 16th to the 21st centuries;, 2-Theorise the representation of gender in a range of literary texts, including poetry and prose;, 3-Think and write critically about the representation of gender in relation to historical and social contexts;, 4-Produce cogent written reflections on and analyses of historical and contemporary gender politics and their literary representations"
"1304"	"ENGL330"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-become familiar with the thought, form, techniques and language of the set texts;, 2-gain an understanding of the general nature of twentieth century literature in relation to the social, cultural and theoretical contexts to which it belongs;, 3-develop skills in alert and informed reading, and in the oral and written processes of literary discussion, especially in critical analysis and evaluation in the form of reading reports and an extended essay at a level appropriate to graduates majoring in English Literature."
"1305"	"ENGL331"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate their familiarity with the texts studied in the course and with the circumstances of their production and reception;, 2-demonstrate some sense of the different historical and cultural contexts of the range of texts studied;, 3-read texts critically and discuss their findings in a formal academic essay;, 4-respond to the detail of selected passages of literature and demonstrate that responsiveness in academic assessment."
"1306"	"ENGL332"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate a knowledge of some of the key literary movements of the Twentieth century, 2-write an extended essay using the critical interpretation of literary texts as the basis for developing a coherent argument comparing the literature of two different decades, 3-regularly produce writing on American literature appropriate for a weblog audience, 4-place a range of significant American writers within a literary and cultural context"
"1307"	"ENGL334"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Demonstrate familiarity with the distinctive form and content of all texts studied, 2-Show familiarity with the historical and cultural context of all texts studied_x000D_
&nbsp;, 3-Identify and articulate relevant critical concerns, 4-Read texts critically, paying close attention to detail_x000D_
&nbsp;, 5-Think about texts comparatively and contextually, 6-Synthesise a range of ideas and approaches into a coherent argument, 7-Demonstrate competency in the conventions of academic writing and ethics_x000D_
&nbsp;, 8-Develop appropriate modes of self-expression_x000D_
&nbsp;"
"1308"	"ENGL336"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Compare and critique arguments about how conventions and genres shape the representation of climate change in literature&nbsp;, 2-Theorise how the frameworks of ecology and climate change impact the analysis and interpretation of&nbsp;literature&nbsp;, 3-Write critically about literary texts in relation to historical and theoretical contexts&nbsp;, 4-Debate&nbsp;literature&rsquo;s relevance to issues of ecology and climate change&nbsp;through&nbsp;active discussion, as well as creative and critical reflection&nbsp;"
"1309"	"ENGL348"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Compare and critique arguments concerning the origins and implications of climate change. &nbsp;, 2-Theorise how the frameworks of ecology and climate change impact the analysis and interpretation of the set texts., 3-Think and write critically about literary texts in relation to historical and theoretical contexts., 4-Debate course concepts through both formal writing on the set texts and reflections on historical objects, contemporary events, and secondary criticism."
"1310"	"ENGL404"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1311"	"ENGL410"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-discuss in detail (both orally and in writing) the set poetic texts, and key critical works relating to them, 2-demonstrate a good understanding of how to read literary texts as complex responses to, and interpretations of, the historical worlds in which they are made, 3-produce independent research in seventeenth-century literary studies, using a range of primary and secondary texts appropriate to the topic"
"1312"	"ENGL415"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-have a close knowledge of each of the Shakespearean texts, their plots, characters, and concerns, 2-be acquainted with some of Shakespeare&rsquo;s source texts, and able to make arguments about Shakespeare&rsquo;s use of them, 3-draw comparisons across the range of Shakespearean texts, and formulate broad conclusions about Shakespeare&rsquo;s relationship to and treatment of the classical world., 4-formulate and carry out a research project drawing on both primary and secondary material."
"1313"	"ENGL422"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Critically discuss the work of a range of contemporary American poets, 2-Critically discuss key moments in American literary and cultural history, and how these might relate to contemporary American lyric poetry, 3-Conduct literary research involving the analysis of primary sources, 4-Work with a selection of critical writings concerning these works, 5-Construct logically argued positions on central issues of contemporary American poetry and the lyric poem"
"1314"	"ENGL423"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-critically discuss Mansfield&rsquo;s writing, both the stories and also the notebooks and letters;, 2-critically discuss the work of Mansfield&rsquo;s influences and contemporaries, and the way they relate to Mansfield;, 3-work with a selection of critical writings concerning these works;, 4-work with the primary sources;, 5-construct their own discussion of the central issues."
"1315"	"ENGL425"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-demonstrate a close knowledge of Ovid&rsquo;s Metamorphoses and of Ovid&#39;s characteristic style, tone, narrative technique, and precoccupations;, 2-demonstrate both a wide and deep understanding of a range of English texts which are influenced by Ovid&#39;s Metamorphoses, and identify their &#39;Ovidian&#39; features;, 3-critically analyse and compare in detail English texts written in the Ovidian tradition over a range of periods from the Middle Ages to the 21st century;, 4-explain and use critical concepts such as reception, tradition, influence, adaptation, imitation, parody and pastiche in analysing the workings of the Ovidian tradition in English literature."
"1316"	"ENGL427"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-read and interpret the assigned texts by John Keats, 2-understand some of the critical issues which are associated with the work of this author, 3-understand the contemporary context of Keats&#39;s poetry and poetics, particularly as it relates to the concepts of empathy and care, 4-develop practical research and writing skills, 5-understand the process of literary research and its resources (in print and online), 6-appreciate and enjoy beautiful works of literature"
"1317"	"ENGL428"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-consider the global and local contexts of contemporary literature, 2-consider contemporary literary discourses, 3-consider the critical contexts in which those texts have been interpreted and adopt their own critical stances towards the texts and towards existing criticism."
"1318"	"ENGL429"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Discuss (both orally and in writing) the major primary and secondary texts in the field of eighteenth-century literature;, 2-Produce independent research on eighteenth-century literature using primary and secondary texts;, 3-Effectively use the major print-based and electronic research resources available in the field, including the resources of the Alexander Turnbull Library if appropriate."
"1319"	"ENGL430"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1320"	"ENGL431"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Demonstrate familiarity with the distinctive form and content of all texts studied;, 2-Demonstrate familiarity with relevant critical concerns, 3-Show evidence of having read texts critically, paying close attention to detail, 4-Discuss texts comparatively and contextually, 5-Synthesise a range of ideas and approaches into a coherent argument;, 6-Demonstrate familiarity with the conventions of academic writing and ethics"
"1321"	"ENGL433"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-have a familiarity with some of the more important texts written by British and American&nbsp;writers during the first half of the twentieth century, 2-situate these texts within their historical context"
"1322"	"ENGL437"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Discuss the major primary and secondary texts in the field of Utopia, Dystopia and Science Fiction., 2-Produce independent research on Utopia and SF, using primary and secondary texts., 3-Analyse literature as a technology through the representation of technology in literature., 4-Understand key concepts in advanced critical theory and SF studies., 5-Reflect upon and advance their capabilities in the medium of writing."
"1323"	"ENGL441"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Conduct literary research involving the analysis of primary sources&nbsp;, 2-Develop logically argued positions on issues of contemporary poetics&nbsp;, 3-Write original poetry informed by an understanding of contemporary poetic theory and/or practice&nbsp;"
"1324"	"ENGL442"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Analyse and discuss primary texts within relevant historical and theoretical contexts related to the representation of spaces in Victorian Britain;, 2-Formulate and investigate research questions about the Victorian novel, using both primary and secondary sources;, 3-Generate analytical interpretations and close readings of specific passages within primary texts and develop those readings into broader arguments about that text;, 4-Demonstrate command of the protocols and practice of scholarly writing."
"1325"	"ENGL444"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Demonstrate their familiarity with the set texts;, 2-interpret and analyse the set texts in relation to each other;, 3-demonstrate an understanding of the texts&#39; historical and intellectual contexts;, 4-think and write theoretically about humour."
"1326"	"ENGL445"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Demonstrate familiarity with the distinctive form and content of all texts studied;, 2-Demonstrate familiarity with relevant critical concerns;, 3-Show evidence of having read texts critically, paying close attention to detail;, 4-Discuss texts comparatively and contextually;, 5-Synthesise a range of ideas and approaches into a coherent argument;, 6-Demonstrate familiarity with the conventions of academic writing and ethics."
"1327"	"ENGL489"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-plan and carry out a sustained research project."
"1328"	"ENGL591"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1329"	"ENGL592"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1330"	"ENGL690"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1515"	"FHSS100"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1516"	"FHSS101"	"Faculty of Humanities & Soc Sc"	"Wai-te-Ata Press"	"1-Discuss the ethical, cultural and technical issues around data., 2-Critically analyse examples of key story projects that use cultural, societal or historical data, 3-Manipulate data using basic out-of-the-box digital storytelling tools, 4-Develop and communicate engaging narratives using cultural, societal or historical data"
"1517"	"FHSS103"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Understand some of the most important ideas in the arts, humanities and social sciences, 2-Describe aspects of the history and development of the arts, humanities and social sciences, 3-Think critically and reflectively about the importance of the arts, humanities and social sciences, 4-Relate some of the most important moments in human history to the current context, 5-Develop academic skills for doing a degree in the arts, humanities and social sciences"
"1518"	"FHSS103"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Understand some of the most important ideas in the arts, humanities and social sciences, 2-Describe aspects of the history and development of the arts, humanities and social sciences, 3-Think critically and reflectively about the importance of the arts, humanities and social sciences, 4-Relate some of the most important moments in human history to the current context, 5-Develop academic skills for doing a degree in the arts, humanities and social sciences"
"1519"	"FHSS103"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Understand some of the most important ideas in the arts, humanities and social sciences, 2-Describe aspects of the history and development of the arts, humanities and social sciences, 3-Think critically and reflectively about the importance of the arts, humanities and social sciences, 4-Relate some of the most important moments in human history to the current context, 5-Develop academic skills for doing a degree in the arts, humanities and social sciences"
"1520"	"FHSS103"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Understand some of the most important ideas in the arts, humanities and social sciences, 2-Describe aspects of the history and development of the arts, humanities and social sciences, 3-Think critically and reflectively about the importance of the arts, humanities and social sciences, 4-Relate some of the most important moments in human history to the current context, 5-Develop academic skills for doing a degree in the arts, humanities and social sciences"
"1521"	"FHSS104"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Discuss changing historical notions of the rights and freedoms of individuals and groups., 2-Identify key examples of historical redress in the last 200 years., 3-Use a variety of research tools to locate appropriate sources for assignments., 4-Read with accuracy and discrimination., 5-Demonstrate that they have developed skills in research, debating and presenting historical ideas in written and oral forms - emphasising clarity, imagination, and the accurate and appropriate use of referencing (footnotes and bibliography).&nbsp;"
"1522"	"FHSS105"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1523"	"FHSS106"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Identify key mathematical concepts and interrelationships required for teaching children mathematics., 2-Compare and contrast diverse understandings of mathematics, with particular focus on relational and instrumental understanding., 3-Describe the implications that relational and instrumental understanding have for the teaching and learning of mathematics and beliefs about the nature and learning of mathematics, 4-Outline the affordances and constraints of representations for a mathematical concept and justify why a particular representation is appropriate to a teaching and learning situation."
"1524"	"FHSS107"	"Faculty of Humanities & Soc Sc"	"History, Phil, Pol Sci & IR"	"1-Explain and engage critically with theoretical conceptions of mental health and mental disorder., 2-Use&nbsp;basic methodologies in at least three disciplines from within the humanities and social sciences, and apply these methodologies to contested questions about mental health and mental disorder., 3-Develop, defend, and communicate positions on theoretical and policy questions about mental health and mental disorder."
"1525"	"FHSS110"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Analyse how identities are expressed and represented through languages and cultures;, 2-Discuss Asian, European and Latin American languages and cultures and their place in New Zealand,_x000D_
the Asia‐Pacific region and the world;, 3-Identify examples of how awareness of diversity of languages and cultures contributes to_x000D_
intercultural competence in a local and global context;, 4-Explain the importance of studying languages and cultures and their relevance to global citizenship."
"1526"	"FHSS110"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Analyse how identities are expressed and represented through languages and cultures;, 2-Discuss Asian, European and Latin American languages and cultures and their place in New Zealand,_x000D_
the Asia‐Pacific region and the world;, 3-Identify examples of how awareness of diversity of languages and cultures contributes to_x000D_
intercultural competence in a local and global context;, 4-Explain the importance of studying languages and cultures and their relevance to global citizenship."
"1527"	"FHSS200"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1528"	"FHSS201"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Identify the main features of the main schools of crime fiction and some of their mutations._x000D_
&nbsp;, 2-Analyse critically thematic and formal features of international literary, film and television crime narratives._x000D_
&nbsp;, 3-Identify and analyse specific social, political and cultural issues in international crime fiction in print and on screen.&nbsp;_x000D_
&nbsp;, 4-Engage with and apply critical approaches relevant to the study of international crime fiction narratives to a specific case study._x000D_
&nbsp;"
"1529"	"FHSS202"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-recognise and evaluate the personal and interpersonal skills necessary for transferring_x000D_
learning from the BA to the workplace/community, 2-demonstrate the skills necessary for planning, completing [as much as possible within the short timeframe] and evaluating a workplace/community organisation project, 3-read critically and reflect upon literature from the field of higher education, and from their BA major subject(s), in the context of work-integrated learning, 4-analyse, summarise and reflect upon the internship experience for their own professional and personal development, and for the benefit of future students in FHSS 202/302"
"1530"	"FHSS202"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-recognise and evaluate the personal and interpersonal skills necessary for transferring_x000D_
learning from the BA to the workplace/community, 2-demonstrate the skills necessary for planning, completing [as much as possible within the short timeframe] and evaluating a workplace/community organisation project, 3-read critically and reflect upon literature from the field of higher education, and from their BA major subject(s), in the context of work-integrated learning, 4-analyse, summarise and reflect upon the internship experience for their own professional and personal development, and for the benefit of future students in FHSS 202/302"
"1531"	"FHSS202"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-recognise and evaluate the personal and interpersonal skills necessary for transferring_x000D_
learning from the BA to the workplace/community, 2-demonstrate the skills necessary for planning, completing [as much as possible within the short timeframe] and evaluating a workplace/community organisation project, 3-read critically and reflect upon literature from the field of higher education, and from their BA major subject(s), in the context of work-integrated learning, 4-analyse, summarise and reflect upon the internship experience for their own professional and personal development, and for the benefit of future students in FHSS 202/302"
"1532"	"FHSS203"	"Faculty of Humanities & Soc Sc"	"History, Phil, Pol Sci & IR"	"1-identify the salient features of the Odyssey, Aeneid, and Dante&rsquo;s Divine Comedy, 2-recognise the intertextual relationships between the Odyssey, Aeneid, and Dante&rsquo;s Divine Comedy, 3-place afterlife texts into their cultural and historical context, 4-identify social, cultural and historical factors influencing different views of the afterlife"
"1533"	"FHSS204"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1534"	"FHSS205"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Critically evaluate the academic literature relating to career transformation, 2-Apply verbal communication skills to a new context (i.e., for a non-academic audience), 3-Apply written communication skills to a new context (i.e., for a non-academic audience), 4-Analyse and solve authentic problems facing the New Zealand workforce, 5-Engage in a research project (under supervision) on the changing nature of employment"
"1535"	"FHSS205"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Critically evaluate the academic literature relating to career transformation, 2-Apply verbal communication skills to a new context (i.e., for a non-academic audience), 3-Apply written communication skills to a new context (i.e., for a non-academic audience), 4-Analyse and solve authentic problems facing the New Zealand workforce, 5-Engage in a research project (under supervision) on the changing nature of employment"
"1536"	"FHSS205"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Critically evaluate the academic literature relating to career transformation, 2-Apply verbal communication skills to a new context (i.e., for a non-academic audience), 3-Apply written communication skills to a new context (i.e., for a non-academic audience), 4-Analyse and solve authentic problems facing the New Zealand workforce, 5-Engage in a research project (under supervision) on the changing nature of employment"
"1537"	"FHSS207"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Critically evaluate the academic literature relating to career transformation, 2-Apply verbal communication skills to a new context (i.e., for a non-academic audience), 3-Apply written communication skills to a new context (i.e., for a non-academic audience), 4-Analyse and solve authentic problems facing the New Zealand workforce, 5-Engage in a research project on the changing nature of employment"
"1538"	"FHSS207"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Critically evaluate the academic literature relating to career transformation, 2-Apply verbal communication skills to a new context (i.e., for a non-academic audience), 3-Apply written communication skills to a new context (i.e., for a non-academic audience), 4-Analyse and solve authentic problems facing the New Zealand workforce, 5-Engage in a research project on the changing nature of employment"
"1539"	"FHSS210"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-give an account, in the target language when possible,&nbsp;of issues of intercultural contact, that reflect knowledge and insight acquired from living in an overseas community;, 2-reflect on the opportunities and obstacles present in learning a second language in an overseas context;, 3-make a formal presentation, in the target language to the extent possible,&nbsp;on a topic related to study abroad with sufficient fluency and accuracy to achieve communicative effect appropriate to a 200-level language course (or 100-level for those with no prior language study)."
"1540"	"FHSS211"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1541"	"FHSS300"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1542"	"FHSS302"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Recognise and evaluate the personal and interpersonal skills necessary for transferring learning from their degree to the workplace/community, 2-Demonstrate the skills necessary for planning, completing [as much as possible within the short timeframe] and evaluating a workplace/community organisation project, 3-Read critically and reflect upon literature from the field of higher education, and from their major subject(s), in the context of work-integrated learning, 4-Analyse, summarise and reflect upon the internship experience for their own professional and personal development, and for the benefit of future students in FHSS 302, 5-Integrate the reading on work-integrated learning into their reflection on their internship experience"
"1543"	"FHSS302"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Recognise and evaluate the personal and interpersonal skills necessary for transferring learning from their degree to the workplace/community, 2-Demonstrate the skills necessary for planning, completing [as much as possible within the short timeframe] and evaluating a workplace/community organisation project, 3-Read critically and reflect upon literature from the field of higher education, and from their major subject(s), in the context of work-integrated learning, 4-Analyse, summarise and reflect upon the internship experience for their own professional and personal development, and for the benefit of future students in FHSS 302, 5-Integrate the reading on work-integrated learning into their reflection on their internship experience"
"1544"	"FHSS302"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-Recognise and evaluate the personal and interpersonal skills necessary for transferring learning from their degree to the workplace/community, 2-Demonstrate the skills necessary for planning, completing [as much as possible within the short timeframe] and evaluating a workplace/community organisation project, 3-Read critically and reflect upon literature from the field of higher education, and from their major subject(s), in the context of work-integrated learning, 4-Analyse, summarise and reflect upon the internship experience for their own professional and personal development, and for the benefit of future students in FHSS 302, 5-Integrate the reading on work-integrated learning into their reflection on their internship experience"
"1545"	"FHSS303"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	"1-identify the salient features of the Odyssey, Aeneid, and Dante&rsquo;s Divine Comedy, 2-analyse the intertextual relationships between the Odyssey, Aeneid, and Dante&rsquo;s Divine Comedy , 3-place afterlife texts into their cultural and historical context, 4-evaluate social, cultural and historical factors influencing different views of the afterlife, 5-apply appropriate modern theoretical approaches to the study of classical afterlife literature"
"1546"	"FHSS304"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1547"	"FHSS305"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1548"	"FHSS310"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-give an analytical account in the target language of issues of intercultural contact, language use in society, and social or political comparisons arising from living in an overseas community;, 2-reflect on and communicate the issues related to learning a second language in an overseas context including a reflection on goals, learning opportunities, obstacles, and strategies for self-direction;, 3-make a formal presentation in the target language on a topic related to study abroad with sufficient fluency and accuracy to achieve communicative effect appropriate to a 300-level language course."
"1549"	"FHSS311"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1550"	"FHSS401"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-comprehend their specialist language spoken at normal speed by native speakers (where appropriate);, 2-express themselves correctly in different registers in written and (where appropriate) spoken forms of their specialist language with a high degree of fluency;, 3-understand and use complex grammatical structures in both spoken and written forms of their specialist language;, 4-express themselves critically in writing on a wide variety of cultural topics using their specialist language."
"1551"	"FHSS401"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-comprehend their specialist language spoken at normal speed by native speakers (where appropriate);, 2-express themselves correctly in different registers in written and (where appropriate) spoken forms of their specialist language with a high degree of fluency;, 3-understand and use complex grammatical structures in both spoken and written forms of their specialist language;, 4-express themselves critically in writing on a wide variety of cultural topics using their specialist language."
"1552"	"FHSS402"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Develop creative and critical insights in the process of translation as cross-cultural communication;, 2-Critically assess the theoretical and practical issues underpinning translation;, 3-Creatively engage with translation scenarios and products of cross-cultural communication;, 4-Show evidence of advanced skills in academic writing and research."
"1553"	"FHSS402"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Develop creative and critical insights in the process of translation as cross-cultural communication;, 2-Critically assess the theoretical and practical issues underpinning translation;, 3-Creatively engage with translation scenarios and products of cross-cultural communication;, 4-Show evidence of advanced skills in academic writing and research."
"1554"	"FHSS410"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Critically engage with cultural texts in relation to their sociohistorical contexts;, 2-Apply methodological and analytical skills in research on cultures as local and global phenomena;, 3-Formulate and communicate arguments about the development and evolution of cultural texts;, 4-Demonstrate a nuanced and critically informed understanding of cultures as local and global phenomena."
"1555"	"FHSS410"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Critically engage with cultural texts in relation to their sociohistorical contexts;, 2-Apply methodological and analytical skills in research on cultures as local and global phenomena;, 3-Formulate and communicate arguments about the development and evolution of cultural texts;, 4-Demonstrate a nuanced and critically informed understanding of cultures as local and global phenomena."
"1556"	"FHSS411"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"1557"	"FILM100"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"1558"	"FILM101"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Perform close textual analysis of films, including the use of relevant terminology in a knowledgeable and critical manner., 2-Demonstrate knowledge of Film Studies approaches to key concepts and categories., 3-Analyse some of the social and cultural meanings of film., 4-Display enhanced critical, analytical and argumentative skills., 5-Communicate ideas and arguments about cinema effectively and in a critical, creative and scholarly manner."
